Time,Position y (m),Velocity y (m/s),Moving Average (Velocity) w/ 25 points,Acceleration (m/s^2),Moving Acceleration (m/s^2)
0.383333333,0.534345409,2.447532452,2.359707715,4.160708372,6.430701907
0.3875,0.544383369,2.409110375,2.357836983,-0.448975785,5.896480255
0.391666667,0.555323987,2.625748339,2.383294095,6.109706853,5.897087519
0.395833333,0.566069123,2.578832767,2.40041634,4.109338787,5.703906963
0.4,0.57713312,2.655359198,2.423133855,5.452203659,5.621509671
0.404166667,0.58609864,2.151724743,2.418693155,-1.06576797,5.242733632
0.408333333,0.596597631,2.519757947,2.437496433,4.512786661,5.21983979
0.4125,0.607486072,2.613225689,2.459519081,5.28543569,5.13334466
0.416666667,0.618882905,2.735240118,2.47060491,2.660598902,4.870665164
0.420833333,0.63045493,2.777285954,2.485392899,3.549117226,4.644137911
0.425,0.641262173,2.593738181,2.495636617,2.458492421,4.410611195
0.429166667,0.653585345,2.957561436,2.519680197,5.770459078,4.335160223
0.433333333,0.666059369,2.99376557,2.561422386,10.01812553,4.652740084
0.4375,0.67781447,2.821224453,2.571880335,2.50990758,4.435459693
0.441666667,0.689233204,2.740496058,2.578844703,1.671448414,4.17216143
0.445833333,0.70033757,2.665047897,2.583884744,1.20960997,4.03586141
0.45,0.711873735,2.768679514,2.607625487,5.697778166,4.126785181
0.454166667,0.725897943,3.365810033,2.642190869,8.295691611,4.188549399
0.458333333,0.736946835,2.651734084,2.642830905,0.153608659,3.929748622
0.4625,0.748275652,2.71891607,2.65765871,3.558673327,3.869045008
0.466666667,0.759945681,2.800806785,2.673567452,3.818098047,4.065026857
0.470833333,0.771044639,2.663749954,2.678472905,1.177308664,3.914209301
0.475,0.782418766,2.729790435,2.684429246,1.429521935,3.708309797
0.479166667,0.794017486,2.783692784,2.692647241,1.972318862,3.626922092
0.483333333,0.804855477,2.601117914,2.69479795,0.516170079,3.383294589
0.4875,0.816888439,2.887910847,2.712413086,4.227632591,3.385971558
0.491666667,0.829489585,3.02427509,2.737019674,5.905581266,3.64015384
0.495833333,0.841555902,2.895916101,2.747826385,2.59361051,3.499509986
0.5,0.853104399,2.771639281,2.755538645,1.850942528,3.409174136
0.504166667,0.864117407,2.643121935,2.755049155,-0.117477729,3.186386881
0.508333333,0.876674434,3.013686478,2.789527624,8.274832658,3.560010906
0.5125,0.88975665,3.139731871,2.814326581,5.951749671,3.617569426
0.516666667,0.901901444,2.914750564,2.826387576,2.894638794,3.52193755
0.520833333,0.91464265,3.057889283,2.839293543,3.097431977,3.539410873
0.525,0.927300665,3.03792367,2.849719051,2.502122066,3.497531067
0.529166667,0.939667496,2.968039598,2.864691108,3.5932936,3.542923114
0.533333333,0.95278692,3.148661707,2.872335119,1.834562601,3.385487255
0.5375,0.964566069,2.826995666,2.865664323,-1.600991073,2.920722591
0.541666667,0.976378437,2.834968308,2.866214077,0.131941012,2.825603928
0.545833333,0.989468277,3.14156155,2.882256697,3.850228718,2.91275514
0.55,1.001338609,2.84887985,2.889609975,1.764786749,2.934962212
